,Player
607,anthony mantha
608,anthony mantha
609,anthony mantha
610,brad marchand
611,jonathan marchessault
612,mason marchment
613,john marino
614,patrick marleau
615,mitch marner
616,pat maroon
617,matt martin
618,alec martinez
619,jordan martinook
620,mike matheson
621,stefan matteau
622,auston matthews
623,scott mayfield
624,gerald mayhew
625,charlie mcavoy
626,jake mccabe
627,jared mccann
628,michael mccarron
629,max mccormick
630,connor mcdavid
631,ryan mcdonagh
632,brock mcginn
633,greg mckegg
634,michael mcleod
635,ryan mcleod
636,connor mcmichael
637,brayden mcnabb
638,jayson megna
639,timo meier
640,nicolas meloche
641,nicholas merkley
642,dakota mermis
643,jonathon merrill
644,jonathon merrill
645,jonathon merrill
646,victor mete
647,victor mete
648,victor mete
649,marc michaelis
650,jacob middleton
651,keaton middleton
652,ilya mikheyev
653,niko mikkola
654,sonny milano
655,colin miller
656,j.t. miller
657,k'andre miller
658,kevan miller
659,ian mitchell
660,casey mittelstadt
661,sean monahan
662,brandon montour
663,brandon montour
664,brandon montour
665,john moore
666,trevor moore
667,samuel morin
668,josh morrissey
669,tyler motte
670,connor murphy
671,brett murray
672,ryan murray
673,jake muzzin
674,philippe myers
675,tyler myers
676,vladislav namestnikov
677,riley nash
678,james neal
679,martin necas
680,brock nelson
681,patrik nemeth
682,patrik nemeth
683,patrik nemeth
684,aaron ness
685,nikita nesterov
686,alex newhook
687,valeri nichushkin
688,nino niederreiter
689,frans nielsen
690,matthew nieto
691,sami niku
692,stefan noesen
693,stefan noesen
694,stefan noesen
695,joakim nordstrom
696,joshua norris
697,tomas nosek
698,ryan nugent-hopkins
699,darnell nurse
700,markus nutivaara
701,joakim nygard
702,william nylander
703,liam o'brien
704,drew o'connor
705,logan o'connor
706,ryan o'reilly
707,jordan oesterle
708,kyle okposo
709,jamie oleksiak
710,mathieu olivier
711,victor olofsson
712,dmitry orlov
713,t.j. oshie
714,xavier ouellet
715,alex ovechkin
716,max pacioretty
717,jean-gabriel pageau
718,ondrej palat
719,kyle palmieri
720,kyle palmieri
721,kyle palmieri
722,artemi panarin
723,richard panik
724,richard panik
725,richard panik
726,cedric paquette
727,cedric paquette
728,cedric paquette
729,colton parayko
730,zach parise
731,brinson pasichnuk
732,david pastrnak
733,greg pateryn
734,greg pateryn
735,greg pateryn
736,greg pateryn
737,nolan patrick
738,nick paul
739,joe pavelski
740,tanner pearson
741,matthew peca
742,lane pederson
743,andrew peeke
744,adam pelech
745,mathieu perreault
746,david perron
747,corey perry
748,brett pesce
749,nic petan
750,jeff petry
751,elias pettersson
752,marcus pettersson
753,matthew phillips
754,alex pietrangelo
755,garrett pilon
756,brian pinho
757,shane pinto
758,neal pionk
759,brandon pirri
760,rem pitlick
761,tyler pitlick
762,austin poganski
763,brayden point
764,tucker poolman
765,nate prosser
766,ivan provorov
767,jesse puljujarvi
768,ryan pulock
769,mark pysyk
770,alexander radulov
771,brogan rafferty
772,michael raffl
773,michael raffl
774,michael raffl
775,rickard rakell
776,mikko rantanen
777,victor rask
778,michael rasmussen
779,jack rathbone
780,kyle rau
781,ryan reaves
782,alec regula
783,mike reilly
784,mike reilly
785,mike reilly
786,sam reinhart
787,sheldon rempal
788,dan renouf
789,tarmo reunanen
790,justin richards
791,brad richardson
792,tobias rieder
793,morgan rielly
794,juuso riikola
795,zac rinaldo
796,rasmus ristolainen
797,brett ritchie
798,nick ritchie
799,jason robertson
800,nicholas robertson
801,buddy robinson
802,eric robinson
803,evan rodrigues
804,alexander romanov
805,kevin rooney
806,jack roslovic
807,antoine roussel
808,carter rowney
809,matt roy
810,nicolas roy
811,chad ruhwedel
812,arttu ruotsalainen
813,kris russell
814,patrick russell
815,bryan rust
816,jan rutta
817,adam ruzicka
818,bobby ryan
819,derek ryan
820,joakim ryan
821,drake rymsha
822,brandon saad
823,scott sabourin
824,mattias samuelsson
825,rasmus sandin
826,zach sanford
827,travis sanheim
828,steven santini
829,david savard
830,david savard
831,david savard
832,luca sbisa
833,marco scandella
834,colton sceviour
835,mark scheifele
836,brayden schenn
837,luke schenn
838,nick schmaltz
839,nate schmidt
840,justin schultz
841,jaden schwartz
842,tyler seguin
843,andrej sekera
844,zachary senyshyn
845,mikhail sergachev
846,damon severson
847,michael sgarbossa
848,yegor sharangovich
849,kevin shattenkirk
850,andrew shaw
851,riley sheahan
852,conor sheary
853,kiefer sherwood
854,kole sherwood
855,devin shore
856,drew shore
857,jonas siegenthaler
858,jonas siegenthaler
859,jonas siegenthaler
860,dylan sikura
861,jakob silfverberg
862,radim simek
863,wayne simmonds
864,dominik simon
865,colton sissons
866,jeff skinner
867,brady skjei
868,jaccob slavin
869,brendan smith
870,c.j. smith
871,cole smith
872,craig smith
873,gemel smith
874,givani smith
875,reilly smith
876,ty smith
877,carl soderberg
878,carl soderberg
879,carl soderberg
880,victor soderstrom
881,marcus sorensen
882,carson soucy
883,jason spezza
884,daniel sprong
885,jared spurgeon
886,eric staal
887,eric staal
888,eric staal
889,jordan staal
890,marc staal
891,steven stamkos
892,logan stanley
893,paul stastny
894,troy stecher
895,sam steel
896,oskar steen
897,kevin stenlund
898,derek stepan
899,mitchell stephens
900,chandler stephenson
901,riley stillman
902,riley stillman
903,riley stillman
904,mark stone
905,michael stone
906,anton stralman
907,austin strand
908,dylan strome
909,ryan strome
910,marian studenic
911,jack studnicka
912,nico sturm
913,tim stützle
914,p.k. subban
915,oskar sundqvist
916,antti suomela
917,maksim sushko
918,pius suter
919,ryan suter
